"Username","Tweet","Likes","Timestamp"
"The Telegraph
@Telegraph
·
22h"," The Fire Brigades Union previously branded the giant barge, initially designed for about 200 people but modified to house 500 migrants, a “potential death trap”.

Read more here: https://telegraph.co.uk/news/2023/08/27/firefighters-threaten-home-office-legal-challenge-bibby-sto/…",3,2023-08-27T18:04:17.000Z
"The Telegraph
@Telegraph
·
22h"," The Mayor of London has put funding towards a project to provide “LGBTQ+ housing free from oppression”, it has emerged",9,2023-08-27T18:01:02.000Z
"The Times Of India
@timesofindia
·
5 Nov 2020","Video of Hyderabad cop running for 2 km to help ambulance goes viral http://toi.in/uD4UpY/a24gk via 
@TOIHyderabad",,2020-11-05T08:59:08.000Z
,,,2020-04-09T22:43:37.000Z
,,,2022-04-13T16:34:06.000Z
,,,2019-09-07T08:30:00.000Z
,,,2021-08-02T12:37:31.000Z
"The Times Of India
@timesofindia
·
3m","Chhattisgarh Congress stages protest against ED investigations, seeks probe against BJP's corruption 

Chief minister Bhupesh Baghel had also written to ED requesting to probe chit fund and PDS scams but no action was taken or probe initiated, the Congress workers alleged.… Show more",8,2023-08-28T16:46:24.000Z
"The Times Of India
@timesofindia
·
4m",Mosquito-borne disease alert: Raipur's 70 wards gear up for anti-dengue campaign,6,2023-08-28T16:44:55.000Z
"The Times Of India
@timesofindia
·
14m","Mass protests continue over high power bills in Pakistan 

#Pakistan's interim prime minister #AnwaarulHaqKakar is trying to devise a strategy to reduce high power tariff as mass protests are continuing over inflated power bills across the country.",16,2023-08-28T16:35:31.000Z
"The Times Of India
@timesofindia
·
16m","Ulhasnagar suicide case: No faith in Thane crime branch, says Dhananjay Nanavare who cut finger before camera",11,2023-08-28T16:33:11.000Z
"The Times Of India
@timesofindia
·
17m",Need to know about lifesaving CPR? A new study says it's probably wise not to ask Alexa or Siri,7,2023-08-28T16:32:42.000Z
"The Times Of India
@timesofindia
·
1h",An #earthquake of magnitude 3.8 hit #Chhattisgarh's  Surguja at around 8.04 pm: National Center for Seismology,30,2023-08-28T15:14:52.000Z
"TOI Sports
@toisports
·
1h","WatchPakistan's new jersey unveiled ahead of #AsiaCup, #ODIWorldCup 

http://toi.in/IfDyib/a24gk 

#AsiaCup2023 #PakistanCricket",30,2023-08-28T15:02:27.000Z
